Date,Task,Difficulty,Status,Reason
2026-06-10,Coding practice,Medium,Partial,Got distracted
2026-06-10,Coding practice,Medium,Partial,N/A
2026-06-10,Running,Hard,Completed,N/A
2026-06-10,Exercise,Hard,Avoided,No energy
2026-06-10,Meditation ,Medium,Partial,Got distracted
2026-06-10,Studying for unit test ,Medium,Partial,Too boring
2026-06-10,Studying ,Medium,Partial,Too boring
2026-06-10,Eating healthy food,Hard,Avoided,Felt too overwhelming
2026-06-10,Focusing in class,Hard,Avoided,Got distracted
2026-06-10,Social gathering,Hard,Avoided,Too boring
2026-06-10,Learning new skill,Hard,Completed,N/A
2026-06-10,Studying for chemistry exam,Medium,Partial,Got distracted
2026-06-10,Yoga ,Hard,Avoided,Got distracted
2026-06-10,"i was supposed to start my workout 6 days ago, but i didnt till today",Easy,Avoided,Got distracted
2026-06-11,Studying for chemistry,Hard,Avoided,Too boring
